iter	Passed	Remaining
0	143	142941
1	145	72592
2	147	49100
3	149	37286
4	151	30218
5	154	25513
6	156	22217
7	158	19684
8	160	17710
9	162	16114
10	164	14814
11	167	13764
12	169	12835
13	171	12059
14	173	11394
15	175	10793
16	177	10276
17	179	9818
18	182	9439
19	185	9065
20	187	8721
21	189	8415
22	191	8128
23	193	7859
24	195	7615
25	197	7386
26	199	7173
27	201	6980
28	203	6810
29	205	6642
30	207	6490
31	209	6346
32	211	6211
33	214	6090
34	216	5970
35	218	5851
36	220	5743
37	222	5645
38	225	5555
39	227	5466
40	229	5379
41	231	5291
42	233	5206
43	236	5131
44	238	5066
45	240	4996
46	243	4927
47	245	4859
48	247	4793
49	249	4733
50	251	4678
51	253	4623
52	255	4569
53	257	4519
54	259	4467
55	261	4415
56	264	4371
57	266	4327
58	268	4281
59	270	4239
60	272	4200
61	275	4163
62	277	4123
63	279	4086
64	281	4050
65	283	4013
66	285	3976
67	286	3926
68	288	3895
69	291	3869
70	293	3840
71	296	3818
72	298	3788
73	300	3759
74	302	3732
75	304	3705
76	306	3675
77	308	3651
78	311	3627
79	313	3601
80	315	3579
81	317	3556
82	320	3537
83	322	3511
84	323	3483
85	326	3464
86	327	3438
87	329	3419
88	332	3400
89	334	3378
90	336	3360
91	340	3356
92	342	3338
93	344	3319
94	346	3305
95	349	3287
96	351	3270
97	354	3260
98	356	3245
99	358	3230
100	361	3213
101	362	3190
102	364	3174
103	366	3158
104	368	3140
105	370	3126
106	372	3110
107	374	3093
108	376	3080
109	378	3066
110	381	3055
111	383	3039
112	385	3026
113	387	3014
114	389	3001
115	391	2985
116	394	2974
117	396	2962
118	398	2947
119	400	2936
120	402	2925
121	404	2914
122	406	2897
123	408	2887
124	411	2877
125	413	2866
126	415	2856
127	416	2840
128	418	2828
129	420	2816
130	423	2807
131	425	2796
132	427	2785
133	429	2774
134	431	2763
135	433	2751
136	435	2742
137	438	2736
138	440	2725
139	442	2716
140	444	2705
141	446	2696
142	448	2688
143	450	2679
144	452	2670
145	455	2663
146	457	2655
147	459	2646
148	461	2638
149	464	2630
150	466	2624
151	468	2614
152	470	2605
153	472	2597
154	474	2588
155	476	2578
156	478	2569
157	480	2562
158	482	2553
159	485	2547
160	487	2539
161	489	2534
162	491	2526
163	494	2520
164	496	2512
165	498	2504
166	500	2498
167	503	2491
168	505	2483
169	506	2475
170	509	2469
171	511	2462
172	513	2455
173	516	2449
174	518	2442
175	520	2435
176	521	2427
177	524	2420
178	526	2414
179	528	2408
180	529	2396
181	531	2389
182	533	2381
183	535	2373
184	537	2368
185	539	2363
186	542	2356
187	544	2351
188	546	2345
189	548	2339
190	551	2334
191	553	2328
192	555	2321
193	557	2315
194	558	2307
195	561	2301
196	563	2296
197	565	2291
198	567	2285
199	570	2280
200	572	2274
201	573	2267
202	576	2262
203	578	2256
204	580	2252
205	583	2247
206	585	2243
207	587	2238
208	590	2233
209	592	2228
210	594	2223
211	596	2217
212	598	2211
213	600	2205
214	602	2199
215	604	2195
216	606	2189
217	609	2185
218	611	2180
219	613	2175
220	615	2170
221	617	2164
222	619	2159
223	621	2154
224	624	2150
225	626	2145
226	628	2141
227	630	2136
228	633	2131
229	634	2125
230	636	2120
231	639	2115
232	640	2109
233	642	2104
234	645	2101
235	647	2096
236	649	2091
237	652	2087
238	654	2083
239	656	2078
240	658	2073
241	660	2069
242	662	2065
243	665	2061
244	667	2056
245	669	2052
246	671	2047
247	673	2042
248	675	2038
249	677	2033
250	680	2031
251	683	2027
252	685	2023
253	687	2018
254	689	2014
255	691	2008
256	693	2005
257	695	2000
258	697	1996
259	700	1992
260	702	1988
261	704	1984
262	706	1979
263	708	1975
264	710	1971
265	712	1967
266	714	1962
267	716	1957
268	718	1953
269	720	1948
270	723	1945
271	725	1940
272	727	1936
273	729	1931
274	731	1928
275	733	1923
276	735	1920
277	738	1917
